url,category_code,category_description,date_added,source,notes,
2600.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
4genderjustice.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
666games.net,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
8thstreetlatinas.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
a1408.g.akamai.net/5/1408/1388/2005110406/1a1a1ad948be278cff2d96046ad90768d848b41947aa1986/sample_sorenson.mov.zip,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
abpr2.railfan.net,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
addons.mozilla.org,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
addons.mozilla.org/en-US/firefox/addon/4286,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
adium.im,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
adultfriendfinder.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
advocacy.globalvoicesonline.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
alt.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
amphetamines.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
amygoodloe.com/lesbian-dot-org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anon.inf.tu-dresden.de,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonnews.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonym.to,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymizer.secuser.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymouse.org,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
archive.org,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
archive.org/web,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
archiveofourown.org,CULTR,Culture,2017-10-25,sinarproject,,
